exp,feature,n,rho,p,sig
B,total_tokens,209,0.2627,0.0001,***
B,esg_signal_count,209,0.2336,0.0007,***
B,g_signal_count,209,0.3243,0.0,***
B,esg_signal_ratio,209,0.0929,0.1808,ns
B,g_signal_ratio,209,-0.1967,0.0043,**
B,esg_tfidf_concentration,209,-0.1854,0.0072,**
B,esg_g_relative,209,-0.0492,0.479,ns
B,bp_contamination_rate,209,-0.0719,0.3008,ns
E,total_tokens,209,0.2726,0.0001,***
E,esg_signal_count,209,0.2298,0.0008,***
E,g_signal_count,209,0.3372,0.0,***
E,esg_signal_ratio,209,0.0762,0.2728,ns
E,g_signal_ratio,209,-0.1897,0.0059,**
E,esg_tfidf_concentration,209,-0.1696,0.0141,*
E,esg_g_relative,209,-0.0521,0.4539,ns
E,bp_contamination_rate,209,0.0519,0.4556,ns
F,total_tokens,209,0.2796,0.0,***
F,esg_signal_count,209,0.2369,0.0006,***
F,g_signal_count,209,0.345,0.0,***
F,esg_signal_ratio,209,0.0832,0.2312,ns
F,g_signal_ratio,209,-0.1952,0.0046,**
F,esg_tfidf_concentration,209,-0.1748,0.0114,*
F,esg_g_relative,209,-0.0502,0.4704,ns
F,bp_contamination_rate,209,0.05,0.4722,ns
